SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2,ASSIGNMENTS
10026388,-36.998309,148.677358,"NSWTA 25m Lattice Tower, Mt Tingaringy, Alpine National Park off Hobbs Road TUBBETT",NSW,4,null,Within 10 metres,undefined,MW7O,4
10026460,-30.39678,152.68837,"NSWTA 40m Monopole, Francis Lookout off 498 Maynards Plains Rd DORRIGO MOUNTAIN",NSW,4,null,Within 10 metres,undefined,NU8G,20
10026461,-31.948558,145.124148,NSWTA 85m Guyed Mast off 9717 The Wool Track SANDY CREEK,NSW,5,null,Within 10 metres,undefined,LV1M,16
10026462,-32.359772,145.991271,NSWTA 30m Lattice Tower off 25679 Kidman Way GILGUNNIA,NSW,5,null,Within 10 metres,undefined,LV4H,4
10026463,-29.13055,147.48447,NSWTA 70m Lattice Tower off Bangate Road GOODOOGA,NSW,5,null,Within 10 metres,undefined,LU6B,16
10026557,-29.211721,147.734693,"NSWTA 80m Guyed Mast, Bangate Tank  1418 Bangate Road GOODOODA",NSW,5,null,Within 10 metres,undefined,LU6C,22
10026558,-35.05689,144.814023,NSWTA 100m Guyed Mast 75 Warwillah Road WANGANELLA,NSW,4,null,Within 10 metres,undefined,KW6D,16
10026559,-32.587852,146.424103,"NSWTA 50m Lattice Tower, Marobee 1610 Tallebung Road EREMERANG",NSW,5,null,Within 10 metres,undefined,LV5J,16
10026561,-32.317057,145.016367,NSWTA 35m Lattice Tower off 1540 Moolah Road KULWIN,NSW,5,null,Within 10 metres,undefined,LV4E,14
10026562,-32.022543,142.255631,"NSWTA 55m Lattice Tower, Glen Lyon off 2898 Menindee Road MENINDEE",NSW,5,null,Within 10 metres,undefined,KV4B,22
10026563,-35.775504,144.587412,NSWTA Site Blaxland St BUNNALOO,NSW,4,2731,Within 10 metres,undefined,KW6O,4
10026670,-33.75939,150.714817,"New Hospital Building, Nepean Hospital Derby Street KINGSWOOD",NSW,2,null,Within 10 metres,undefined,MV9O,12
10026731,-31.6882,143.83591,"NSWTA 50m Guyed Mast, Mac Cullochs Range off 23061 Barrier Hwy WILCANNIA",NSW,5,null,Within 10 metres,undefined,KV2L,14
10026732,-31.539543,143.392442,NSWTA 80m Guyed Mast 564 West Tilpa Road WILCANNIA,NSW,5,2836,Within 10 metres,undefined,KV2J,4
10026863,-35.976351,149.858739,"NSWTA 20m Monopole, Plumwood Fire Tower Track off Little Sugarloaf Road DEUA",NSW,4,null,Within 10 metres,undefined,MW5P,16
10026864,-32.89572,149.13766,"NSWTA 30m Monopole, Flagstaff Hill 511 Bundalah Road EUCHAREENA",NSW,4,null,Within 10 metres,undefined,MV5M,2
10027021,-31.807501,141.249877,NSWTA 70m Lattice Tower off Silverton Rd SILVERTON,NSW,5,null,Within 10 metres,undefined,JV3M,16
10027101,-29.649912,152.1407,NSWTA 30m Lattice Tower Lookout Rd GIBRALTAR RANGE,NSW,4,null,Within 10 metres,undefined,NU5I,16
10027102,-31.749893,151.422482,NSWTA 45m Lattice Tower Glenrock Trig off Pigma Barney Firetrail via Collemandah Rd TOMALLA,NSW,4,2337,Within 10 metres,undefined,NV1N,18
10027103,-29.386586,151.556258,Transgrid 30m Monopole off Schroders Rd EMMAVILLE,NSW,4,null,Within 10 metres,undefined,NU4G,16
10027135,-33.504956,142.093833,"NSWTA 100m Guyed Mast, Trelega Station  off 3266 Nob Rd POONCARIE",NSW,5,null,Within 10 metres,undefined,KV7I,20
10027139,-30.155891,142.893758,NSWTA 50m Guyed Mast Quarry View via 5964 Bootra Rd WHITE CLIFFS,NSW,5,null,Within 10 metres,undefined,KU7D,16
10027255,-33.943646,151.160741,M5 Eastbound Tunnel (nominal point) Cooks River Crossing MASCOT,NSW,2,null,Within 10 metres,undefined,NV7M,2
10027401,-30.971422,141.718449,NSWTA 50m Lattice Tower 10751 Silver City Hwy PACKSADDLE,NSW,5,null,Within 10 metres,undefined,JU9O,4
10028080,-32.864272,143.491532,"NSWTA Guyed Mast Nelia Station, near Darnick Railway Station, off Ivanhoe-Menindee Rd IVANHOE",NSW,5,null,Within 10 metres,undefined,KV5N,14
10028082,-34.447867,147.558464,NSWTA 50m Lattice Tower 11 Narraburra St TEMORA,NSW,4,null,Within 10 metres,undefined,LW3G,16
10028148,-30.74059,144.87075,NSWTA Tx Repeater CCCX  LOUTH,NSW,5,null,Within 10 metres,undefined,KU9L,4
10028150,-30.364755,142.316509,NSWTA 135m Guyed Mast Morden Station Henry Roberts Rd PACKSADDLE,NSW,5,2880,Within 100 metres,undefined,KU7F,6
10028151,-29.66455,141.93011,NSWTA 80m Guyed Mast off Sliver City Hwy MILPARINKA,NSW,5,2880,Within 10 metres,undefined,JU6L,4
10028394,-30.35525,148.887548,NSWTA 55m Lattice Tower 16 Lagoon Street PILLIGA,NSW,5,null,Within 10 metres,undefined,MU7H,18
10028432,-33.68366,150.90185,Indara 35m Monopole  130 Cudgegong Road ROUSE HILL,NSW,2,null,Within 10 metres,undefined,MV9L,200
10028865,-29.457027,149.824033,"NSWTA 65m Lattice Tower Sewage Treatment Plant, via Boundary St MOREE",NSW,4,null,Within 10 metres,undefined,MU5H,14
10029578,-35.6151,144.1432,NSWTA 70m Tower off Lilford Ln BARHAM,NSW,4,null,Within 10 metres,undefined,KW6I,14
10029733,-31.97234,151.80899,NSWTA 20m Lattice Tower Copeland Tops off Copeland Trig Trail COPELAND,NSW,4,null,Within 10 metres,undefined,NV1P,18
10029773,-29.511498,149.004435,NSWTA 60m Lattice Tower  2645 Bronte Rd  BULLARAH,NSW,4,null,Within 10 metres,undefined,MU5I,16
10029839,-36.493355,148.28767,"NSWTA 10m Pole Mt Crackenback, Eagles Nest via Thredbo Village  THREDBO",NSW,4,null,Within 10 metres,undefined,MW7F,14
10029840,-36.409858,148.387491,NSWTA 3m Shelter Mt Perisher off Kosciuszko Rd PERISHER VALLEY,NSW,4,null,Within 10 metres,undefined,MW7F,2
10029841,-35.027549,143.368165,NSWTA 70m Lattice Tower 432 Coomaroop Rd TOOLEYBUC,NSW,4,null,Within 10 metres,undefined,KW5B,2
10030266,-28.650347,149.176225,NSWTA 125m Guyed Mast off Talwood Mungindi Rd DAYMAR,QLD,5,null,Within 10 metres,undefined,MU2I,14
10030267,-34.57569,145.48658,NSWTA 70m Guyed Mast Gundaline off 19805 Stuart Hwy DARLINGTON POINT,NSW,5,null,Within 10 metres,undefined,LW1J,16
10030268,-35.363922,145.324712,NSWTA 112m Guyed Mast off Conargo Rd HARTWOOD,NSW,4,null,Within 10 metres,undefined,LW4F,18
10030269,-35.693149,145.396926,NSWTA 50m Lattice Tower 26 Pine Lodge Rd PINE LODGE,NSW,4,null,Within 10 metres,undefined,LW4J,16
10030270,-33.891239,142.650561,NSWTA 70m Guyed Mast Murrungi Station off 2423 Petro Mail Rd ARUMPO,NSW,5,null,Within 10 metres,undefined,KV7O,14
10030271,-30.328744,149.795257,NSWTA 40m Monopole Council Depot Fitzroy St NARRABRI,NSW,4,null,Within 10 metres,undefined,MU8H,28
10030272,-34.55346,146.39792,NSWTA 40m Monopole 12-16 Acacia Ave LEETON,NSW,4,2705,Within 10 metres,undefined,LW2J,16
10031193,-29.35449,145.21608,NSWTA 100m Guyed Mast Mascot Station  off 2870 Mascot Rd YANTABULLA,NSW,5,null,Within 10 metres,undefined,LU4E,16
10031338,-35.104525,150.255584,NSWTA 45m Lattice Tower 4018 Braidwood Rd SASSAFRA,NSW,4,null,Within 10 metres,undefined,MW6B,14
10031513,-34.48775,143.801221,NSWTA 50m Lattice Tower 3163 Waugorah Rd WAUGORAH,NSW,5,null,Within 10 metres,undefined,KW2H,16
10031689,-28.555915,153.415811,NSWTA 30m Monopole Teales Lookout Rd KOONYUM RANGE,NSW,4,null,Within 10 metres,undefined,NU3J,16
10031704,-34.214628,145.197175,NSWTA 50m Lattice Tower 20717 Mid Western Hwy ONE TREE,NSW,5,null,Within 10 metres,undefined,LW1A,16
10032510,-33.354742,141.420119,120 m NSWTA Guyed Mast 2313 Belvedere Road  SCOTIA,NSW,5,null,Within 10 metres,undefined,JV9F,16
10033186,-30.63039,143.34621,NSWTA 55m Lattice Tower 1025 Glendara Rd WILCANNIA,NSW,5,null,Within 10 metres,undefined,KU8J,18
10033525,-33.689493,142.40849,NSWTA 85m Guyed Mast 7297 Pooncarie Rd POONCARIE,NSW,5,null,Within 10 metres,undefined,KV7J,8
10034129,-30.717203,145.152778,NSWTA 40m Guyed Mast 9838 Burke-Wilcannia Rd LOUTH,NSW,5,null,Within 10 metres,undefined,LU7I,6
10034230,-35.523062,144.970353,"NSWTA 64m Lattice Tower Edward River Parkland, Lot 2 Chippenham Park Rd DENILIQUIN",NSW,4,2710,Within 100 metres,undefined,KW6L,6
10034231,-33.91959,144.52855,NSWTA Site Corrong CORRONG,NSW,5,null,Within 10 metres,undefined,KV9O,6
10034248,-29.659822,145.712202,NSWTA 50m Lattice Tower Station 878 Lower Lila Road NORTH BOURKE,NSW,5,null,Within 10 metres,undefined,LU4K,4
10034249,-30.05155,142.050566,NSWTA 60m Guyed Mast Lower Cobham 24783 Silver City Hwy MILPARINKA,NSW,5,2880,Within 100 metres,undefined,KU7A,4
10034315,-29.82399,145.00445,NSWTA Site Fords Bridge FORDS BRIDGE,NSW,5,null,Within 10 metres,undefined,LU4M,2
10034380,-35.798193,144.898463,NSWTA 90m Guyed Mast 67 Golf Club Rd MATHOURA,NSW,4,2710,Within 10 metres,undefined,KW6P,10
10034381,-29.426113,142.018263,NSWTA 70m Guyed Mast off Silver City Hwy TIBOOBURRA,NSW,5,null,Within 10 metres,undefined,KU4E,14
10034382,-34.01575,141.76442,NSWTA 80m Guyed Mast Oakbank Station off 456 Anabranch Mail Rd ANABRANCH SOUTH,NSW,4,null,Within 10 metres,undefined,JW3D,6
10034391,-34.459155,144.84443,NSWTA 80m Guyed Mast 12531 Cobb Hwy HAY,NSW,5,null,Within 10 metres,undefined,KW3H,16
10034436,-34.525587,142.811766,NSW TA Guyed Mast 412 Euston Prungle Rd EUSTON,NSW,4,null,Within 10 metres,undefined,KW1L,16
10034497,-33.916334,143.728857,NSWTA 80m Guyed Mast Freemount Station via Hatfield Penarie Rd HATFIELD,NSW,5,null,Within 10 metres,undefined,KV8O,4
10034498,-35.07692,144.03489,NSWTA 110m Guyed Mast 586 Maude Rd MOULAMEIN,NSW,4,null,Within 10 metres,undefined,KW6A,16
10034524,-32.01886,141.58829,NSWTA 120m Guyed Mast 8296 Menindee Rd BROKEN HILL,NSW,5,null,Within 10 metres,undefined,JV6C,6
10034884,-34.806954,147.201465,NSWTA 50m Lattice Tower Kindra State Forest Rannock Rd COOLAMON,NSW,4,null,Within 10 metres,undefined,LW3M,16
10035065,-30.89286,143.09357,NSWTA 100m Guyed Mast off Opal Miners Way WHITE CLIFFS,NSW,5,null,Within 10 metres,undefined,KU8M,2
10035452,-30.33378,145.61647,"NSWTA Site, Hamilton Park LOT 11 Wilcannia Bourke Rd GUNDERBOOKA",NSW,5,null,Within 10 metres,undefined,LU7G,4
10035602,-32.143162,142.902299,NSWTA Barraroo Site  MENINDEE,NSW,5,null,Within 10 metres,undefined,KV4D,4
10035923,-30.38047,150.6124,NSWTA 40m Monopole 77 Cherry St BARRABA,NSW,4,null,Within 10 metres,undefined,MU9G,2
10036305,-34.556978,143.587383,NSW TA 90m Guyed Mast Off Ivanhoe Road BALRANALD,NSW,5,null,Within 10 metres,undefined,KW2K,4
10037306,-35.161602,147.455295,Regional Express hangar - Wagga Wagga Airport off Elizabeth Avenue FOREST HILL,NSW,4,null,Within 10 metres,undefined,LW6B,2
